src_ip,dst_ip,protocol,packet_size,timestamp
192.168.137.192,13.107.246.58,6.0,54.0,1762228367.376359
192.168.137.192,192.168.137.1,17.0,92.0,1762228367.579718
192.168.137.1,192.168.137.192,17.0,434.0,1762228367.600195
192.168.137.1,192.168.137.192,17.0,434.0,1762228367.600195
192.168.137.1,192.168.137.192,17.0,434.0,1762228367.600195
192.168.137.192,20.189.173.12,6.0,66.0,1762228367.612706
20.189.173.12,192.168.137.192,6.0,66.0,1762228367.832982
192.168.137.192,20.189.173.12,6.0,54.0,1762228367.833173
192.168.137.192,20.189.173.12,6.0,571.0,1762228367.83391
192.168.137.192,34.120.195.249,6.0,55.0,1762228367.936655
34.120.195.249,192.168.137.192,6.0,66.0,1762228367.951521
20.189.173.12,192.168.137.192,6.0,54.0,1762228367.990031
20.189.173.12,192.168.137.192,6.0,153.0,1762228368.104671
192.168.137.192,20.189.173.12,6.0,396.0,1762228368.107075
20.189.173.12,192.168.137.192,6.0,1514.0,1762228368.43485
20.189.173.12,192.168.137.192,6.0,1514.0,1762228368.43485
20.189.173.12,192.168.137.192,6.0,1514.0,1762228368.43485
20.189.173.12,192.168.137.192,6.0,166.0,1762228368.43485
192.168.137.192,20.189.173.12,6.0,54.0,1762228368.435024
192.168.137.192,20.189.173.12,6.0,1494.0,1762228368.438113
192.168.137.192,20.189.173.12,6.0,1494.0,1762228368.438113
192.168.137.192,20.189.173.12,6.0,1494.0,1762228368.438113
192.168.137.192,20.189.173.12,6.0,1494.0,1762228368.438113
192.168.137.192,20.189.173.12,6.0,619.0,1762228368.438113
20.189.173.12,192.168.137.192,6.0,54.0,1762228368.65285
20.189.173.12,192.168.137.192,6.0,54.0,1762228368.65285
20.189.173.12,192.168.137.192,6.0,157.0,1762228368.65285
192.168.137.192,192.168.137.1,17.0,75.0,1762228368.663302
192.168.137.1,192.168.137.192,17.0,226.0,1762228368.669379
192.168.137.192,142.250.182.67,17.0,1292.0,1762228368.679356
192.168.137.192,142.250.182.67,17.0,1292.0,1762228368.679736
192.168.137.192,142.250.182.67,17.0,122.0,1762228368.680069
192.168.137.192,142.250.182.67,17.0,974.0,1762228368.680757
192.168.137.192,20.189.173.12,6.0,54.0,1762228368.69878
142.250.182.67,192.168.137.192,17.0,82.0,1762228368.722672
142.250.182.67,192.168.137.192,17.0,1292.0,1762228368.722672
20.189.173.12,192.168.137.192,6.0,519.0,1762228368.734754
192.168.137.192,20.189.173.12,6.0,54.0,1762228368.73484
142.250.182.67,192.168.137.192,17.0,1292.0,1762228368.735491
142.250.182.67,192.168.137.192,17.0,347.0,1762228368.735491
142.250.182.67,192.168.137.192,17.0,986.0,1762228368.735491
142.250.182.67,192.168.137.192,17.0,67.0,1762228368.735491
142.250.182.67,192.168.137.192,17.0,64.0,1762228368.735491
192.168.137.192,20.189.173.12,6.0,78.0,1762228368.737567
192.168.137.192,20.189.173.12,6.0,54.0,1762228368.737948
192.168.137.192,142.250.182.67,17.0,120.0,1762228368.739305
192.168.137.192,142.250.182.67,17.0,73.0,1762228368.739886
142.250.182.67,192.168.137.192,17.0,162.0,1762228368.761451
192.168.137.192,142.250.182.67,17.0,73.0,1762228368.761727
142.250.182.67,192.168.137.192,17.0,577.0,1762228368.771316
142.250.182.67,192.168.137.192,17.0,64.0,1762228368.771316
192.168.137.192,142.250.182.67,17.0,77.0,1762228368.772815
142.250.182.67,192.168.137.192,17.0,65.0,1762228368.802677
20.189.173.12,192.168.137.192,6.0,54.0,1762228368.957377
192.168.137.192,192.168.29.146,17.0,87.0,1762228370.41779
192.168.137.192,142.251.43.74,17.0,71.0,1762228370.933
142.251.43.74,192.168.137.192,17.0,66.0,1762228370.997193
142.250.67.202,192.168.137.192,17.0,120.0,1762228372.535277
142.250.67.202,192.168.137.192,17.0,64.0,1762228372.535277
142.250.67.202,192.168.137.192,17.0,120.0,1762228372.535277
192.168.137.192,142.250.67.202,17.0,74.0,1762228372.536209
192.168.137.192,142.250.67.202,17.0,74.0,1762228372.536686
192.168.137.192,142.250.67.202,17.0,76.0,1762228372.536774
192.168.137.192,192.168.137.1,17.0,118.0,1762228372.553403
192.168.137.1,192.168.137.192,17.0,312.0,1762228372.558042
192.168.137.192,172.217.24.138,17.0,1292.0,1762228372.560287
192.168.137.192,172.217.24.138,17.0,1292.0,1762228372.56037
192.168.137.192,172.217.24.138,17.0,1292.0,1762228372.560414
192.168.137.192,172.217.24.138,17.0,123.0,1762228372.56317
192.168.137.192,172.217.24.138,17.0,588.0,1762228372.563503
172.217.24.138,192.168.137.192,17.0,82.0,1762228372.592775
172.217.24.138,192.168.137.192,17.0,82.0,1762228372.599032
172.217.24.138,192.168.137.192,17.0,1292.0,1762228372.599032
172.217.24.138,192.168.137.192,17.0,1292.0,1762228372.599032
172.217.24.138,192.168.137.192,17.0,1292.0,1762228372.616971
172.217.24.138,192.168.137.192,17.0,346.0,1762228372.616971
172.217.24.138,192.168.137.192,17.0,988.0,1762228372.616971
172.217.24.138,192.168.137.192,17.0,152.0,1762228372.616971
172.217.24.138,192.168.137.192,17.0,66.0,1762228372.616971
192.168.137.192,172.217.24.138,17.0,120.0,1762228372.618369
192.168.137.192,172.217.24.138,17.0,73.0,1762228372.61876
172.217.24.138,192.168.137.192,17.0,162.0,1762228372.630117
172.217.24.138,192.168.137.192,17.0,64.0,1762228372.630117
192.168.137.192,172.217.24.138,17.0,73.0,1762228372.630484
192.168.137.192,142.250.182.78,17.0,1286.0,1762228372.652
192.168.137.192,142.250.182.78,17.0,1292.0,1762228372.6521
192.168.137.192,142.250.182.78,17.0,1292.0,1762228372.652128
192.168.137.192,142.250.182.78,17.0,1062.0,1762228372.652153
192.168.137.192,172.217.24.138,17.0,74.0,1762228372.660374
142.250.182.78,192.168.137.192,17.0,69.0,1762228372.699739
142.250.182.78,192.168.137.192,17.0,65.0,1762228372.699739
192.168.137.192,142.250.182.78,17.0,74.0,1762228372.739158
142.250.182.78,192.168.137.192,17.0,64.0,1762228372.755563
192.168.137.192,142.250.182.78,17.0,75.0,1762228372.755863
142.250.182.78,192.168.137.192,17.0,714.0,1762228372.81454
142.250.182.78,192.168.137.192,17.0,142.0,1762228372.81454
172.217.24.138,192.168.137.192,17.0,240.0,1762228372.81454
172.217.24.138,192.168.137.192,17.0,63.0,1762228372.81454
192.168.137.192,172.217.24.138,17.0,77.0,1762228372.823286
192.168.137.192,142.250.182.78,17.0,79.0,1762228372.826254
192.168.137.192,142.250.182.78,17.0,75.0,1762228372.827731
192.168.137.192,172.217.24.138,17.0,1292.0,1762228372.836732
192.168.137.192,172.217.24.138,17.0,1292.0,1762228372.838399
192.168.137.192,172.217.24.138,17.0,1292.0,1762228372.839747
192.168.137.192,172.217.24.138,17.0,121.0,1762228372.841368
172.217.24.138,192.168.137.192,17.0,65.0,1762228372.842689
192.168.137.192,172.217.24.138,17.0,1288.0,1762228372.845265
172.217.24.138,192.168.137.192,17.0,82.0,1762228372.84608
192.168.137.192,172.217.24.138,17.0,1292.0,1762228372.847965
192.168.137.192,172.217.24.138,17.0,396.0,1762228372.84927
192.168.137.192,172.217.24.138,17.0,130.0,1762228372.850659
172.217.24.138,192.168.137.192,17.0,82.0,1762228372.854538
172.217.24.138,192.168.137.192,17.0,1292.0,1762228372.854538
172.217.24.138,192.168.137.192,17.0,1292.0,1762228372.854538
172.217.24.138,192.168.137.192,17.0,1292.0,1762228372.871554
172.217.24.138,192.168.137.192,17.0,348.0,1762228372.871554
172.217.24.138,192.168.137.192,17.0,986.0,1762228372.871554
172.217.24.138,192.168.137.192,17.0,154.0,1762228372.871554
172.217.24.138,192.168.137.192,17.0,66.0,1762228372.871554
192.168.137.192,172.217.24.138,17.0,120.0,1762228372.872439
192.168.137.192,172.217.24.138,17.0,73.0,1762228372.872653
172.217.24.138,192.168.137.192,17.0,64.0,1762228372.892062
142.250.182.78,192.168.137.192,17.0,66.0,1762228372.892062
192.168.137.192,172.217.24.138,17.0,73.0,1762228372.896998
192.168.137.192,172.217.24.138,17.0,115.0,1762228372.908667
172.217.24.138,192.168.137.192,17.0,162.0,1762228372.919928
192.168.137.192,172.217.24.138,17.0,74.0,1762228372.955363
172.217.24.138,192.168.137.192,17.0,249.0,1762228373.172564
172.217.24.138,192.168.137.192,17.0,249.0,1762228373.202633
192.168.137.192,172.217.24.138,17.0,79.0,1762228373.203147
172.217.24.138,192.168.137.192,17.0,67.0,1762228373.225172
23.48.32.220,192.168.137.192,6.0,86.0,1762228374.47249
192.168.137.192,23.48.32.220,6.0,90.0,1762228374.473158
23.48.32.220,192.168.137.192,6.0,54.0,1762228374.602488
142.251.43.74,192.168.137.192,17.0,199.0,1762228376.527964
142.251.43.74,192.168.137.192,17.0,199.0,1762228376.527964
142.251.43.74,192.168.137.192,17.0,199.0,1762228376.527964
142.251.43.74,192.168.137.192,17.0,199.0,1762228376.527964
142.251.43.74,192.168.137.192,17.0,199.0,1762228376.527964
192.168.137.192,142.251.43.74,17.0,73.0,1762228376.537373
192.168.137.192,142.251.43.74,17.0,75.0,1762228376.537723
192.168.137.192,142.251.43.74,17.0,77.0,1762228376.537778
192.168.137.192,142.251.43.74,17.0,79.0,1762228376.537825
192.168.137.192,192.168.137.1,17.0,92.0,1762228377.362819
192.168.137.192,192.168.137.1,17.0,92.0,1762228377.363107
192.168.137.192,20.189.173.24,6.0,177.0,1762228377.363529
192.168.137.192,20.189.173.24,6.0,93.0,1762228377.363591
192.168.137.192,20.189.173.24,6.0,1494.0,1762228377.363627
192.168.137.192,20.189.173.24,6.0,690.0,1762228377.363627
192.168.137.192,192.168.137.1,17.0,92.0,1762228377.395993
192.168.137.192,192.168.137.1,17.0,92.0,1762228377.560836
20.189.173.24,192.168.137.192,6.0,54.0,1762228377.669877
20.189.173.24,192.168.137.192,6.0,54.0,1762228377.669877
20.189.173.24,192.168.137.192,6.0,93.0,1762228377.669877
192.168.137.192,20.189.173.24,6.0,54.0,1762228377.715371
20.189.173.24,192.168.137.192,6.0,153.0,1762228377.938764
192.168.137.192,20.189.173.24,6.0,89.0,1762228377.941335
192.168.137.192,192.168.137.1,17.0,92.0,1762228378.373916
192.168.137.192,192.168.137.1,17.0,92.0,1762228378.374919
20.189.173.24,192.168.137.192,6.0,54.0,1762228378.377484
192.168.137.1,192.168.137.192,17.0,268.0,1762228378.552704
192.168.137.1,192.168.137.192,17.0,268.0,1762228378.552704
192.168.137.1,192.168.137.192,17.0,434.0,1762228378.555516
192.168.137.1,192.168.137.192,17.0,434.0,1762228378.555516
192.168.137.1,192.168.137.192,17.0,434.0,1762228378.555516
192.168.137.1,192.168.137.192,17.0,434.0,1762228378.555516
192.168.137.192,20.189.173.12,6.0,66.0,1762228378.613006
192.168.137.192,140.82.113.26,6.0,55.0,1762228378.730276
20.189.173.12,192.168.137.192,6.0,66.0,1762228378.851893
192.168.137.192,20.189.173.12,6.0,54.0,1762228378.852057
192.168.137.192,20.189.173.12,6.0,571.0,1762228378.85277
20.189.173.12,192.168.137.192,6.0,54.0,1762228378.884606
140.82.113.26,192.168.137.192,6.0,66.0,1762228379.036722
20.189.173.12,192.168.137.192,6.0,153.0,1762228379.092627
192.168.137.192,20.189.173.12,6.0,491.0,1762228379.095758
20.189.173.12,192.168.137.192,6.0,4434.0,1762228379.322026
20.189.173.12,192.168.137.192,6.0,166.0,1762228379.322026
192.168.137.192,20.189.173.12,6.0,54.0,1762228379.322189
192.168.137.192,20.189.173.12,6.0,1494.0,1762228379.325468
192.168.137.192,20.189.173.12,6.0,816.0,1762228379.325468
20.189.173.12,192.168.137.192,6.0,54.0,1762228379.558734
20.189.173.12,192.168.137.192,6.0,157.0,1762228379.558734
192.168.137.192,20.189.173.12,6.0,54.0,1762228379.604697
192.168.137.192,192.168.137.1,17.0,72.0,1762228380.199789
20.189.173.12,192.168.137.192,6.0,519.0,1762228380.219511
192.168.137.192,20.189.173.12,6.0,54.0,1762228380.219649
192.168.137.192,20.189.173.12,6.0,78.0,1762228380.220795
192.168.137.192,20.189.173.12,6.0,54.0,1762228380.220927
192.168.137.192,192.168.137.1,17.0,72.0,1762228380.369468
20.189.173.12,192.168.137.192,6.0,54.0,1762228380.435898
192.168.137.192,192.168.29.146,17.0,87.0,1762228380.511281
192.168.137.1,192.168.137.192,17.0,672.0,1762228380.580243
192.168.137.1,192.168.137.192,17.0,672.0,1762228380.580243
192.168.137.192,95.101.110.33,17.0,1292.0,1762228380.583676
192.168.137.192,95.101.110.33,17.0,1292.0,1762228380.583774
192.168.137.192,142.251.221.174,17.0,428.0,1762228380.659394
142.251.221.174,192.168.137.192,17.0,70.0,1762228380.721285
95.101.110.33,192.168.137.192,17.0,82.0,1762228380.7451
95.101.110.33,192.168.137.192,17.0,1292.0,1762228380.748084
95.101.110.33,192.168.137.192,17.0,1292.0,1762228380.748084
95.101.110.33,192.168.137.192,17.0,296.0,1762228380.748084
192.168.137.192,95.101.110.33,17.0,208.0,1762228380.749079
192.168.137.192,142.251.221.174,17.0,75.0,1762228380.759977
95.101.110.33,192.168.137.192,17.0,345.0,1762228380.901451
95.101.110.33,192.168.137.192,17.0,106.0,1762228380.901451
95.101.110.33,192.168.137.192,17.0,63.0,1762228380.901451
95.101.110.33,192.168.137.192,17.0,112.0,1762228380.901451
192.168.137.192,95.101.110.33,17.0,73.0,1762228380.909329
192.168.137.192,95.101.110.33,17.0,73.0,1762228380.909696
142.251.221.174,192.168.137.192,17.0,1218.0,1762228380.98863
192.168.137.192,142.251.221.174,17.0,79.0,1762228381.025838
95.101.110.33,192.168.137.192,17.0,65.0,1762228381.05427
142.251.221.174,192.168.137.192,17.0,66.0,1762228381.083074
23.48.32.220,192.168.137.192,6.0,86.0,1762228384.616274
15.197.206.217,192.168.137.192,6.0,460.0,1762228384.616274
23.48.32.220,192.168.137.192,6.0,86.0,1762228384.616274
15.197.206.217,192.168.137.192,6.0,460.0,1762228384.616274
23.48.32.220,192.168.137.192,6.0,86.0,1762228384.616274
15.197.206.217,192.168.137.192,6.0,460.0,1762228384.616274
192.168.137.192,23.48.32.220,6.0,66.0,1762228384.616413
192.168.137.192,15.197.206.217,6.0,66.0,1762228384.616452
192.168.137.192,23.48.32.220,6.0,66.0,1762228384.616464
192.168.137.192,15.197.206.217,6.0,66.0,1762228384.616475
192.168.137.192,23.48.32.220,6.0,90.0,1762228384.617705
23.48.32.220,192.168.137.192,6.0,54.0,1762228384.776701
192.168.137.192,15.197.206.217,6.0,128.0,1762228384.779764
15.197.206.217,192.168.137.192,6.0,54.0,1762228384.918642
192.168.137.209,224.0.0.251,17.0,232.0,1762228385.103981
192.168.137.192,142.251.222.197,6.0,55.0,1762228385.998535
142.251.222.197,192.168.137.192,6.0,66.0,1762228386.024366
192.168.137.192,51.104.15.253,6.0,55.0,1762228386.076193
51.104.15.253,192.168.137.192,6.0,66.0,1762228386.561991
192.168.137.192,74.125.68.188,6.0,55.0,1762228387.83935
192.168.137.192,172.217.24.138,17.0,71.0,1762228387.855641
172.217.24.138,192.168.137.192,17.0,67.0,1762228387.877769
74.125.68.188,192.168.137.192,6.0,66.0,1762228387.916381
192.168.137.192,192.168.29.146,17.0,87.0,1762228401.82067
95.101.110.33,192.168.137.192,17.0,73.0,1762228401.844105
95.101.110.33,192.168.137.192,17.0,73.0,1762228401.844105
23.48.32.220,192.168.137.192,6.0,86.0,1762228401.844105
95.101.110.33,192.168.137.192,17.0,73.0,1762228401.844105
95.101.110.33,192.168.137.192,17.0,66.0,1762228401.844105
192.168.137.192,23.48.32.220,6.0,90.0,1762228401.844627
192.168.137.192,95.101.110.33,17.0,75.0,1762228401.845306
192.168.137.192,95.101.110.33,17.0,77.0,1762228401.845447
192.168.137.192,95.101.110.33,17.0,77.0,1762228401.845535
192.168.137.192,192.168.137.1,17.0,92.0,1762228401.961059
23.48.32.220,192.168.137.192,6.0,54.0,1762228401.978289
192.168.137.192,192.168.137.1,17.0,92.0,1762228402.132465
192.168.137.1,192.168.137.192,17.0,443.0,1762228402.188309
192.168.137.1,192.168.137.192,17.0,443.0,1762228402.188309
192.168.137.192,52.182.143.211,6.0,66.0,1762228402.227665
192.168.137.192,13.107.236.201,6.0,66.0,1762228402.491806
52.182.143.211,192.168.137.192,6.0,66.0,1762228402.513818
192.168.137.192,150.171.21.201,6.0,66.0,1762228402.769319
192.168.137.192,204.14.183.201,6.0,66.0,1762228403.021319
192.168.137.192,192.168.29.146,17.0,120.0,1762228403.84841
52.182.143.211,192.168.137.192,6.0,66.0,1762228403.868333
192.168.137.192,204.14.183.201,6.0,66.0,1762228404.034033
192.168.137.192,204.14.183.201,6.0,66.0,1762228406.048561
52.182.143.211,192.168.137.192,6.0,66.0,1762228406.075804
192.168.137.192,172.217.24.138,17.0,71.0,1762228406.346634
192.168.137.192,172.217.24.138,17.0,71.0,1762228406.409786
172.217.24.138,192.168.137.192,17.0,67.0,1762228406.440448
192.168.137.192,20.189.173.24,6.0,171.0,1762228406.817828
192.168.137.192,20.189.173.24,6.0,1494.0,1762228406.818211
192.168.137.192,20.189.173.24,6.0,1494.0,1762228406.818211
192.168.137.192,20.189.173.24,6.0,1494.0,1762228406.818211
192.168.137.192,20.189.173.24,6.0,324.0,1762228406.818211
192.168.137.192,20.189.173.24,6.0,1494.0,1762228407.360662
20.189.173.24,192.168.137.192,6.0,54.0,1762228407.381023
20.189.173.24,192.168.137.192,6.0,54.0,1762228407.381023
20.189.173.24,192.168.137.192,6.0,153.0,1762228407.381023
192.168.137.192,20.189.173.24,6.0,89.0,1762228407.382669
20.189.173.24,192.168.137.192,6.0,153.0,1762228407.526179
192.168.137.192,20.189.173.24,6.0,66.0,1762228407.526332
20.189.173.24,192.168.137.192,6.0,66.0,1762228407.624577
192.168.137.192,20.189.173.24,6.0,89.0,1762228408.062458
20.189.173.24,192.168.137.192,6.0,54.0,1762228408.085583
20.189.173.24,192.168.137.192,6.0,66.0,1762228408.68954
192.168.137.192,192.168.137.1,17.0,80.0,1762228409.759516
192.168.137.192,192.168.137.1,17.0,92.0,1762228409.768927
52.182.143.211,192.168.137.192,6.0,66.0,1762228409.824183
192.168.137.192,192.168.137.1,17.0,80.0,1762228409.921366
192.168.137.192,192.168.137.1,17.0,92.0,1762228409.937016
192.168.137.192,204.14.183.201,6.0,66.0,1762228410.061144
23.48.32.220,192.168.137.192,6.0,86.0,1762228410.637613
192.168.137.192,23.48.32.220,6.0,90.0,1762228410.641009
192.168.137.192,142.251.221.174,17.0,71.0,1762228410.669775
192.168.137.192,142.251.221.174,17.0,71.0,1762228410.77848
142.251.221.174,192.168.137.192,17.0,67.0,1762228410.785905
23.48.32.220,192.168.137.192,6.0,54.0,1762228410.789158
142.251.221.174,192.168.137.192,17.0,68.0,1762228410.796483
95.101.110.33,192.168.137.192,17.0,108.0,1762228410.911388
192.168.137.192,192.168.137.1,17.0,80.0,1762228410.934767
192.168.137.1,192.168.137.192,17.0,455.0,1762228410.949366
192.168.137.1,192.168.137.192,17.0,455.0,1762228410.949366
192.168.137.192,192.168.137.1,17.0,92.0,1762228410.949724
192.168.137.192,72.153.5.139,6.0,66.0,1762228410.951564
192.168.137.1,192.168.137.192,17.0,455.0,1762228410.953072
72.153.5.139,192.168.137.192,6.0,66.0,1762228411.208569
192.168.137.192,72.153.5.139,6.0,54.0,1762228411.20875
192.168.137.192,72.153.5.139,6.0,269.0,1762228411.219552
72.153.5.139,192.168.137.192,6.0,54.0,1762228411.414095
72.153.5.139,192.168.137.192,6.0,1514.0,1762228411.451743
72.153.5.139,192.168.137.192,6.0,1026.0,1762228411.451743
192.168.137.192,72.153.5.139,6.0,54.0,1762228411.451883
192.168.137.192,72.153.5.139,6.0,212.0,1762228411.466429
172.217.24.138,192.168.137.192,17.0,120.0,1762228411.529627
192.168.137.192,172.217.24.138,17.0,74.0,1762228411.571116
192.168.137.114,192.168.137.1,17.0,92.0,1762230495.571925
192.168.137.114,192.168.137.1,17.0,92.0,1762230495.573301
192.168.137.1,192.168.137.114,17.0,495.0,1762230495.754091
192.168.137.1,192.168.137.114,17.0,495.0,1762230495.754091
192.168.137.1,192.168.137.114,17.0,271.0,1762230495.758359
192.168.137.1,192.168.137.114,17.0,271.0,1762230495.759008
192.168.137.114,192.168.137.1,17.0,92.0,1762230495.764369
192.168.137.1,192.168.137.114,17.0,495.0,1762230495.76677
192.168.137.114,20.52.64.200,6.0,66.0,1762230495.767565
20.52.64.200,192.168.137.114,6.0,66.0,1762230495.931476
192.168.137.114,20.52.64.200,6.0,54.0,1762230495.931649
192.168.137.114,20.52.64.200,6.0,1494.0,1762230495.933437
192.168.137.114,20.52.64.200,6.0,451.0,1762230495.933437
20.52.64.200,192.168.137.114,6.0,54.0,1762230495.969046
20.52.64.200,192.168.137.114,6.0,66.0,1762230496.02992
20.52.64.200,192.168.137.114,6.0,153.0,1762230496.096805
192.168.137.114,20.52.64.200,6.0,737.0,1762230496.099116
20.52.64.200,192.168.137.114,6.0,5894.0,1762230496.272551
20.52.64.200,192.168.137.114,6.0,580.0,1762230496.272551
192.168.137.114,20.52.64.200,6.0,54.0,1762230496.272666
192.168.137.114,20.52.64.200,6.0,128.0,1762230496.30059
192.168.137.114,20.52.64.200,6.0,146.0,1762230496.301001
192.168.137.114,20.52.64.200,6.0,544.0,1762230496.30125
192.168.137.114,20.52.64.200,6.0,1494.0,1762230496.301395
192.168.137.114,20.52.64.200,6.0,715.0,1762230496.301395
20.52.64.200,192.168.137.114,6.0,54.0,1762230496.459193
20.52.64.200,192.168.137.114,6.0,54.0,1762230496.459193
20.52.64.200,192.168.137.114,6.0,157.0,1762230496.480018
192.168.137.114,20.52.64.200,6.0,54.0,1762230496.527398
20.52.64.200,192.168.137.114,6.0,116.0,1762230496.541893
192.168.137.114,20.52.64.200,6.0,85.0,1762230496.548769
192.168.137.114,104.208.16.95,6.0,55.0,1762230496.558553
20.52.64.200,192.168.137.114,6.0,366.0,1762230496.697976
192.168.137.114,20.52.64.200,6.0,54.0,1762230496.743832
192.168.137.114,20.52.64.200,6.0,85.0,1762230496.931537
104.208.16.95,192.168.137.114,6.0,66.0,1762230496.951177
20.52.64.200,192.168.137.114,6.0,54.0,1762230496.951177
20.52.64.200,192.168.137.114,6.0,66.0,1762230497.114881
192.168.137.114,172.217.24.106,17.0,71.0,1762230497.604193
172.217.24.106,192.168.137.114,17.0,66.0,1762230497.675927
192.168.137.114,18.97.36.75,6.0,296.0,1762230497.838667
18.97.36.75,192.168.137.114,6.0,54.0,1762230498.335066
18.97.36.75,192.168.137.114,6.0,173.0,1762230498.335066
192.168.137.114,18.97.36.75,6.0,54.0,1762230498.381225
142.251.221.174,192.168.137.114,17.0,80.0,1762230500.274282
23.48.32.209,192.168.137.114,6.0,86.0,1762230500.274282
142.251.221.174,192.168.137.114,17.0,80.0,1762230500.274282
23.48.32.209,192.168.137.114,6.0,86.0,1762230500.274282
142.251.221.174,192.168.137.114,17.0,80.0,1762230500.274282
192.168.137.114,23.48.32.209,6.0,66.0,1762230500.274466
192.168.137.114,192.168.29.146,17.0,86.0,1762230500.27619
192.168.137.114,142.251.221.174,17.0,76.0,1762230500.28722
192.168.137.114,142.251.221.174,17.0,78.0,1762230500.287341
192.168.137.114,23.48.32.209,6.0,90.0,1762230500.287535
23.48.32.202,192.168.137.114,6.0,86.0,1762230500.43368
192.168.137.114,23.48.32.202,6.0,90.0,1762230500.436895
23.48.32.209,192.168.137.114,6.0,54.0,1762230500.536202
23.48.32.202,192.168.137.114,6.0,54.0,1762230500.576419
192.168.137.114,192.168.137.1,17.0,92.0,1762230500.690022
192.168.137.1,192.168.137.114,17.0,495.0,1762230500.694243
192.168.137.114,20.52.64.200,6.0,66.0,1762230500.709119
20.52.64.200,192.168.137.114,6.0,66.0,1762230500.923793
